Disease,Year,Month,Date,Event
,,,24,"U.N. Secretary-General Ban Ki-moon calls for a “twentyfold surge in care, tracking, transport and equipment” to curb the epidemic, which is doubling in size about every three weeks."
,,October,2,NBC says a freelance cameraman in Liberia has contracted the virus and will be flown back to the U.S. for treatment. 
,,,17,The WHO declares Senegal to be free of Ebola.
,,,20,The WHO declares Nigeria to be free of Ebola.
Zika,2016,January,17,"a baby is born in Hawaii with the Zika virus and microcephaly, the first such case reported in the U.S.; the mother had lived in Brazil in May the previous year."
,,,19,a man from Thailand becomes the first imported case of Zika virus in Taiwan
,,,26,Samoa is added to the CDC travel advisory
,,Febuary,1,the WHO declares the Zika virus outbreak to be a Public Health Emergency of International Concern (PHEIC)
,,,8,the Obama administration requests $1.8 billion in the fight against Zika
,,,11, the CDC releases preliminary guidelines regarding the sexual transmission of Zika. Three likely cases are reported
,,,12, the CDC releases a Level 2 (Practice Enhanced Precautions) travel notice
,,March,9,"the CDC reports 193 travel-associated Zika virus disease cases, and no locally acquired vector-borne cases"
,,,24,a genetics study published in Science suggests that the Zika virus had arrived in Brazil between May and December 2013
,,,30,"the New England Journal of Medicine published ""Zika Virus Infection with Prolonged Maternal Viremia and Fetal Brain Abnormalities,"" which documents the destruction of a fetal brain by Zika in detail"
,,April,1," the CDC holds a meeting at its headquarters with more than 300 local, state, and federal officials and experts to coordinate the response to Zika, including a reorganization of mosquito control programs"
,,,16,Peru reports its first case of sexual transmission (and its seventh overall) after a resident infected his wife after contracting the disease in Venezuela
,,,29, the CDC confirms the first Zika-related death in the US occurred in February 2016.
,,May,13,the CDC begins to recommend testing urine for clues to Zika infection
,,,16,Belize confirms its first case of Zika infection
,,July,29,"the CDC confirms 4 cases of locally transmitted cases of Zika infection in Miami, Florida, the first locally transmitted cases confirmed in the mainland US"
,,August,12,The U.S. government declares a public health emergency in Puerto Rico as a result of a Zika epidemic
,,,27,Singapore's Ministry of Health confirms the first case of locally transmitted Zika infections in the country
,,,29,"Malaysian health authorities say in a press conference that it was ""just a matter of time"" until cases Zika are detected in Malaysia. "
,,Septmber,1,Health Minister of Malaysia confirmed of the first case of Zika in Malaysia.
,,,5,"Singapore's Ministry of Health and National Environment Agency said that the total number of locally transmitted Zika virus infections over the weekend was 91, raising the total to 242."
,,,19,"The CDC lifts official travel guidelines for Miami, Florida."
,,October,30,Vietnam's Health Ministry has reported a microcephaly case that it says is likely to be the country's first linked to the mosquito-borne Zika virus
