year,month,day,event_keyword,event_detail
2015,8,17,Rapid response,Use of rapid response teams and strong community involvement in finding Ebola virus disease cases and contacts is yielding results in Sierra Leone.ÿ
2015,8,24,Milestone,"Sierra Leone celebrated an important milestone on Monday, 24 August 2015. For the first time in more than a year, there are no people being treated for Ebola virus disease and no confirmed cases of Ebola in the country.ÿ"
2015,9,3,Liberia free of Ebola,WHO declares Liberia free of Ebola virus transmission in the human population.ÿ
2015,9,15,WHO Director-General,"At her address to the Regional Committee for Europe, Dr Margaret Chan, WHO Director-General, says the Ebola outbreak is not yet over, but we are very close.ÿ"
2015,9,16,Mobilize experience,WHO is helping Sierra Leone to mobilize all its experience and partners to ensure that any new cases of Ebola are investigated and transmission of the disease stopped as rapidly as possible.
2015,10,1,Emergency Committee,"The Emergency Committee on the Ebola virus disease outbreak in West Africa, convened by the Director-General under the International Health Regulations, met for the 7th time"
2015,10,14,Clinical observation,A growing volume of data from careful clinical observation and testing of people who have recovered from acute Ebola virus disease indicates that the Ebola virus can persist at various sites in the body for many months in some people.
2015,11,7,Ebola virus transmission,WHO declares that Ebola virus transmission in Sierra Leone has ended.ÿ
2015,11,10,Suspected of Ebola,"inÿBrazilÿa 46-year-old man coming from Guinea was suspected of Ebola and was hospitalized in Belo Horizonte, Minas Gerais."
2015,11,11,Interrupt transmission,"This week Guinea reported no new cases of Ebola (to 8 November) and Sierra Leone, like Liberia earlier, has interrupted transmission of the virus.ÿ"
2015,12,8,Electronic reporting,Liberia is introducing electronic reporting which will enable faster detection of disease outbreaks.ÿ
2015,12,21,Emergency Committee,"The Emergency Committee on the Ebola virus disease outbreak in West Africa, convened by the WHO Director-General under the International Health Regulations, met for the 8th time.ÿ"
2015,12,29,End of Ebola,WHO declares the end of Ebola virus transmission in the Republic of Guinea.ÿ
